Date,Country,Name,Value
2020-01-01,Albania,Tea Packets,206877
2020-02-01,Albania,Tea Packets,501837
2020-03-01,Albania,Tea Packets,317598
2020-04-01,Albania,Tea Packets,292019
2020-05-01,Albania,Tea Packets,282064
2020-06-01,Albania,Tea Packets,1204820
2020-07-01,Albania,Tea Packets,421321
2020-08-01,Albania,Tea Packets,466275
2020-09-01,Albania,Tea Packets,161586
2020-10-01,Albania,Tea Packets,364297
2020-11-01,Albania,Tea Packets,192533
2020-12-01,Albania,Tea Packets,391158
2021-01-01,Albania,Tea Packets,141299
2021-02-01,Albania,Tea Packets,734070
2021-03-01,Albania,Tea Packets,755913
2021-04-01,Albania,Tea Packets,1155509
2021-05-01,Albania,Tea Packets,210624
2021-06-01,Albania,Tea Packets,121799
2021-07-01,Albania,Tea Packets,316635
2021-08-01,Albania,Tea Packets,528595
2021-09-01,Albania,Tea Packets,287631
2021-10-01,Albania,Tea Packets,293890
2021-11-01,Albania,Tea Packets,543571
2021-12-01,Albania,Tea Packets,203318
2022-01-01,Albania,Tea Packets,265327
2022-02-01,Albania,Tea Packets,282329
2022-03-01,Albania,Tea Packets,654383
2022-04-01,Albania,Tea Packets,351403
2022-05-01,Albania,Tea Packets,356864
2022-06-01,Albania,Tea Packets,575011
2022-07-01,Albania,Tea Packets,241882
2022-08-01,Albania,Tea Packets,330526
2022-09-01,Albania,Tea Packets,233986
2022-10-01,Albania,Tea Packets,397442
2022-11-01,Albania,Tea Packets,119254
2022-12-01,Albania,Tea Packets,692256
2023-01-01,Albania,Tea Packets,160204
2023-02-01,Albania,Tea Packets,91643
2023-03-01,Albania,Tea Packets,551625
2023-04-01,Albania,Tea Packets,619031
2023-05-01,Albania,Tea Packets,654824
2023-06-01,Albania,Tea Packets,539475
2023-07-01,Albania,Tea Packets,264563
2023-08-01,Albania,Tea Packets,71604
2023-09-01,Albania,Tea Packets,188340
2023-10-01,Albania,Tea Packets,101114
2023-11-01,Albania,Tea Packets,117138
2023-12-01,Albania,Tea Packets,272274
2024-01-01,Albania,Tea Packets,350769
2024-02-01,Albania,Tea Packets,611208
2024-03-01,Albania,Tea Packets,349987
2024-04-01,Albania,Tea Packets,169936
2024-05-01,Albania,Tea Packets,463402
2024-06-01,Albania,Tea Packets,604326.5
2024-07-01,Albania,Tea Packets,745251
2024-08-01,Albania,Tea Packets,1012619
2024-09-01,Albania,Tea Packets,916050
2024-10-01,Albania,Tea Packets,493159
2024-11-01,Albania,Tea Packets,616433
2024-12-01,Albania,Tea Packets,705058
2020-01-01,Albania,Tea in Bulk,46779
2020-02-01,Albania,Tea in Bulk,137355
2020-03-01,Albania,Tea in Bulk,244782
2020-04-01,Albania,Tea in Bulk,11247
2020-05-01,Albania,Tea in Bulk,338873
2020-06-01,Albania,Tea in Bulk,111301
2020-07-01,Albania,Tea in Bulk,88330
2020-08-01,Albania,Tea in Bulk,128972
2020-09-01,Albania,Tea in Bulk,129954
2020-10-01,Albania,Tea in Bulk,34121
2020-11-01,Albania,Tea in Bulk,125364
2020-12-01,Albania,Tea in Bulk,307789
2021-01-01,Albania,Tea in Bulk,228921
2021-02-01,Albania,Tea in Bulk,255554
2021-03-01,Albania,Tea in Bulk,293674
2021-04-01,Albania,Tea in Bulk,331794
2021-05-01,Albania,Tea in Bulk,50377
2021-06-01,Albania,Tea in Bulk,39600
2021-07-01,Albania,Tea in Bulk,267943
2021-08-01,Albania,Tea in Bulk,117216
2021-09-01,Albania,Tea in Bulk,325990
2021-10-01,Albania,Tea in Bulk,88960
2021-11-01,Albania,Tea in Bulk,211245
2021-12-01,Albania,Tea in Bulk,438719
2022-01-01,Albania,Tea in Bulk,27390
2022-02-01,Albania,Tea in Bulk,37540
2022-03-01,Albania,Tea in Bulk,169025
2022-04-01,Albania,Tea in Bulk,198399.3333
2022-05-01,Albania,Tea in Bulk,227773.6667
2022-06-01,Albania,Tea in Bulk,257148
2022-07-01,Albania,Tea in Bulk,216592
2022-08-01,Albania,Tea in Bulk,40032
2022-09-01,Albania,Tea in Bulk,223424
2022-10-01,Albania,Tea in Bulk,136351
2022-11-01,Albania,Tea in Bulk,68696
2022-12-01,Albania,Tea in Bulk,102326
2023-01-01,Albania,Tea in Bulk,64505
2023-02-01,Albania,Tea in Bulk,49481
2023-03-01,Albania,Tea in Bulk,34457
2023-04-01,Albania,Tea in Bulk,48905
2023-05-01,Albania,Tea in Bulk,200327
2023-06-01,Albania,Tea in Bulk,338144
2023-07-01,Albania,Tea in Bulk,187568
2023-08-01,Albania,Tea in Bulk,420117
2023-09-01,Albania,Tea in Bulk,137935
2023-10-01,Albania,Tea in Bulk,92904
2023-11-01,Albania,Tea in Bulk,81972.5
2023-12-01,Albania,Tea in Bulk,71041
2024-01-01,Albania,Tea in Bulk,71858
2024-02-01,Albania,Tea in Bulk,72675
2024-03-01,Albania,Tea in Bulk,171505
2024-04-01,Albania,Tea in Bulk,139794
2024-05-01,Albania,Tea in Bulk,198153
2024-06-01,Albania,Tea in Bulk,269991
2024-07-01,Albania,Tea in Bulk,178094
2024-08-01,Albania,Tea in Bulk,211560
2024-09-01,Albania,Tea in Bulk,146580
2024-10-01,Albania,Tea in Bulk,81600
2024-11-01,Albania,Tea in Bulk,604073
2024-12-01,Albania,Tea in Bulk,681130
2020-01-01,Australia,Apparel,2302982
2020-02-01,Australia,Apparel,4560386
2020-03-01,Australia,Apparel,918631
2020-04-01,Australia,Apparel,677601
2020-05-01,Australia,Apparel,1513965
2020-06-01,Australia,Apparel,1577841
2020-07-01,Australia,Apparel,1629721
2020-08-01,Australia,Apparel,2359603
2020-09-01,Australia,Apparel,1958535
2020-10-01,Australia,Apparel,1824255
2020-11-01,Australia,Apparel,2068507
2020-12-01,Australia,Apparel,2493698
2021-01-01,Australia,Apparel,2864037
2021-02-01,Australia,Apparel,2463183
2021-03-01,Australia,Apparel,4174272
2021-04-01,Australia,Apparel,1528733
2021-05-01,Australia,Apparel,2785987
2021-06-01,Australia,Apparel,1597737
2021-07-01,Australia,Apparel,3235571
2021-08-01,Australia,Apparel,2475961
2021-09-01,Australia,Apparel,2232836
2021-10-01,Australia,Apparel,1850432
2021-11-01,Australia,Apparel,4049140
2021-12-01,Australia,Apparel,1830651
2022-01-01,Australia,Apparel,1990209
2022-02-01,Australia,Apparel,2824331
2022-03-01,Australia,Apparel,2468863
2022-04-01,Australia,Apparel,2400821
2022-05-01,Australia,Apparel,2001861
2022-06-01,Australia,Apparel,2745171
2022-07-01,Australia,Apparel,2671695
2022-08-01,Australia,Apparel,2458151
2022-09-01,Australia,Apparel,2722797
2022-10-01,Australia,Apparel,3113945
2022-11-01,Australia,Apparel,1649254
2022-12-01,Australia,Apparel,2002555
2023-01-01,Australia,Apparel,2100181
2023-02-01,Australia,Apparel,2303176
2023-03-01,Australia,Apparel,2016726
2023-04-01,Australia,Apparel,2395046
2023-05-01,Australia,Apparel,3473904
2023-06-01,Australia,Apparel,2063907
2023-07-01,Australia,Apparel,2935220
2023-08-01,Australia,Apparel,2816798
2023-09-01,Australia,Apparel,1560985
